Title,Ingredients,Instructions
['Idli Recipe (Idli Batter Recipe with Pro Tips)'],"Recipe 2▢ ½ cup urad dal▢ 1½ cups idli rice (or parboiled rice)▢ ½ teaspoon fenugreek seeds (methi seeds)▢ 2 tablespoons thick poha (flattened rice) (substitute with ¼ tsp methi)▢ ¾ cup chilled water (¼ cup more if required, to grind dal)▢ ¾ cup water (to grind rice)","▢ On a high flame, bring water to a boil in an idly steamer or a pressure cooker. If using instant pot, pour 1½ cups water to your inner pot. Press the saute button and bring the water to a rolling boil.▢ Meanwhile grease your idly plates lightly. Mix the idli batter gently 1 to 2 times only. Do not over do as the aerated batter will turn flat. Fill the molds with batter.▢ When the water begins to bubble and steam up, place the stand in the steamer. Cover and steam for exactly 10 mins on a high flame. If using Instant pot, when the water begins to boil,   press CANCEL button. Keep the idli stand in the IP. Cover with the lid & position the steam release handle to venting . Then press STEAM button. Use an external timer to monitor & steam for 10 to 12 mins.▢ Once done turn off and wait for 2 mins. Remove the idly stand. Set aside to cool down for 2 to 3 mins. When cooled, the idli must not be wet on top.▢ With the help of a spoon remove the idlis to a plate. Serve idli with a chutney or sambar."
['Paneer Recipes'],"Recipe 2▢ ½ cup urad dal▢ 1½ cups idli rice (or parboiled rice)▢ ½ teaspoon fenugreek seeds (methi seeds)▢ 2 tablespoons thick poha (flattened rice) (substitute with ¼ tsp methi)▢ ¾ cup chilled water (¼ cup more if required, to grind dal)▢ ¾ cup water (to grind rice)","▢ On a high flame, bring water to a boil in an idly steamer or a pressure cooker. If using instant pot, pour 1½ cups water to your inner pot. Press the saute button and bring the water to a rolling boil.▢ Meanwhile grease your idly plates lightly. Mix the idli batter gently 1 to 2 times only. Do not over do as the aerated batter will turn flat. Fill the molds with batter.▢ When the water begins to bubble and steam up, place the stand in the steamer. Cover and steam for exactly 10 mins on a high flame. If using Instant pot, when the water begins to boil,   press CANCEL button. Keep the idli stand in the IP. Cover with the lid & position the steam release handle to venting . Then press STEAM button. Use an external timer to monitor & steam for 10 to 12 mins.▢ Once done turn off and wait for 2 mins. Remove the idly stand. Set aside to cool down for 2 to 3 mins. When cooled, the idli must not be wet on top.▢ With the help of a spoon remove the idlis to a plate. Serve idli with a chutney or sambar."
['Indian Cucumber Salad'],"To temper▢ 1 teaspoon ghee  or oil▢ ½ teaspoon cumin seeds  (slightly crushed with a rolling pin)▢ 1 pinch mustard seeds  (optional)▢ 6 to 8 curry leaves  (optional, torn if too large)▢ 1 small  green chili  (chopped/ slit sub with red chili flakes)▢ 1 pinch asafoetida / hing (optional)","▢ Rinse and pat dry the cucumbers. If you want you may peel them. Chop finely and add to a bowl.▢ Pour ghee to a small pan/tadka pan and heat on a medium flame. Add the cumin and mustard seeds (optional). When they begin to sizzle and pop, add green chili and curry leaves, followed by hing. ▢ Turn off, cool down slightly. If you want you may remove the chilies & curry leaves with a spoon. Pour the tadka all over the chopped cucumbers & mix well.▢ Do this when you are ready to serve – Stir in salt, sugar, lemon juice and coriander leaves.▢ Sprinkle crushed peanuts and serve Indian Cucumber Salad as a side."
['Indian Rice Pudding'],"▢ ½ cup rice  (any starchy rice)▢ 5 cups (1200 ml) whole milk▢ ½ cup (120 ml) water▢ 1 tablespoon rice flour  (optional, but recommended, not glutinous flour or use custard powder)▢ ¼ to ⅓ cup organic sugar (cut down for low sweet)▢ ½ teaspoon ground cardamom▢ 1 pinch saffron strands  (crushed, omit if you don’t have)▢ 1 teaspoon edible rose water  or kewra water (optional)▢ 1 tablespoon ghee  (optional, read notes to omit)▢ ¼ cup pistachios  (optional)▢ ¼ cup cashews  (split/ chopped)▢ ¼ cup sweet raisins","▢ Pour water and 4 cups milk (or 5 cups if not using rice flour) to a heavy bottom pot. Bring it to a gentle boil on a medium heat. ▢ Meanwhile rinse the rice, drain the water and add it to the hot milk.▢ Cook on a medium heat, stirring often at the bottom and sides. until the rice is soft, and slightly mushy. ▢ Optional – (do this while the pudding cooks to save time) place pistachios in a bowl and pour 1 cup boiling hot water. Let sit for 5 mins, drain and rinse with cold water. Place them on a kitchen cloth/papers and rub to remove the skin. Fine chop and keep aside.▢ Optional  – When the rice is slightly mushy, mix the reserved milk and rice flour in a bowl, to make a lump-free slurry. Pour the rice slurry slowly to the rice pudding, stirring well to incorporate it. Bring it to a boil and simmer for 3 minutes or until it turns thick and creamy.▢ Mash the rice slightly with the back of the ladle to thicken. Add the sugar & cook until it dissolves and the pudding is thick, yet of flowing consistency. It will become thicker after cooling. ▢ Stir in the ground cardamom, saffron, rose water & pistachios if using. Turn off the heat.▢ Heat ghee in a small pan. Add cashews and fry them until golden. Remove to a small plate. Stir in the raisins and fry until they turn plump. Pour the ghee and the raisins as well over the rice pudding. Mix well.▢ Garnish with cashews and sliced pistachios. Serve Indian rice pudding hot or chilled as a dessert."
['Red Lentil Curry'],"▢ 1 cup (200 grams) red lentils  (split or whole)▢ 2½ cups water  (more if needed, same for IP)▢ 2 to 3 tablespoons oil / ghee or butter▢ 1 sprig  curry leaves  or bay leaf▢ 3 inch cinnamon piece + ½ tsp cumin seeds (omit if you don't have)▢ ¾ to 1 cup (1 medium) onions fine chopped▢ ¾ tablespoon (3 medium) garlic cloves grated/pressed ▢ ¾ tablespoon (½ inch slice) ginger  grated/crushed ▢ 1 green chili  (optional, chopped or slit, serrano peppers/ Thai/ Indian green chilies)▢ 1¾ cups (3 medium) Tomatoes  (peeled & chopped/pureed or 14 oz. can crushed tomatoes)▢ 1 teaspoon salt  (more to adjust, cut down if your curry powder has salt)▢ ½ teaspoon Kashmiri chili powder / paprika (adjust to taste)▢ 1 tablespoon curry powder  (mild – or  2 tsp coriander powder, ¾ tsp cumin pow, ¼ tsp each turmeric, chili pow, cardamom, fennel, black pepper )▢ ¾ to 1 teaspoon garam masala  (adjust to taste)▢ 2 teaspoons kasuri methi (dried fenugreek leaves)▢ ⅓  cup heavy cream / yogurt/ cashew cream (20 cashews blend with ⅓ cup water)▢ 2 to 3 tablespoons chopped coriander leaves  to garnish","▢ You don't need to cook the lentils separately. Make the masala first, add the lentils to the cooker.  Pressure cook for 2 to 3 whistles on a medium heat. Wait for the pressure to drop and add kasuri methi and cream. If you want make a extra tadka."
['Savory French Toast'],"▢ 4  slices thick bread slices▢ 1½ tablespoon unsalted butter▢ 2  medium organic eggs▢ ¼ cup milk▢ ⅓ teaspoon salt  (adjust to taste)▢ 2 to 3 tablespoons onion  or shallots or green onions – chopped finely▢ 1 to 2 green chilies  chopped (optional, deseeded for low heat or use black pepper)▢ 2 tablespoon coriander leaves  fine chopped▢ ⅛ teaspoon turmeric▢ ¼ to 1 teaspoon chili flakes  (adjust to taste)▢ ⅓ teaspoon roasted cumin powder▢ ⅓ teaspoon garam masala▢ 4 tablespoons mint chutney  or hot sauce or pesto as needed (optional)▢ ¼ teaspoon chaat masala  to serve – optional","▢ Break eggs to a mixing bowl. Pour milk and add onions, chilies, coriander leaves, turmeric, chili flakes, cumin powder, garam masala and salt. Whisk together until frothy and combined.▢ Heat a non-stick pan with butter on a medium heat. Optional – Spread chutney/sauce on one side of the bread slice. ▢ Place it in the beaten eggs and turn it to the other side with a fork. Remove, shaking off the excess to the same bowl and place in the hot pan. Follow the same steps and toast as many slices as you can in one batch. If you want you may spoon a tablespoon of beaten eggs on each slice.▢ Cook on a medium flame until the base is cooked through.▢ Turn it to the other side with a turner. Press down gently and cook until golden and crisp. Remove to a serving plate and cook the rest of the slices.▢ Sprinkle chaat masala and serve hot."
['Dal Fry Recipe (Restaurant Style Dal Recipe)'],To Serve▢ 1 to 2 tablespoons lemon juice  or as needed (optional),"▢ Press the SAUTE button instant pot and pour ghee to the steel insert.▢ When the ghee melts, add the cumin, red chilli & mustard (optional).▢ As soon as the spices pop, add hing, green chilli & onions.▢ Saute for 2 mins and then fry ginger garlic for 30 seconds.▢ Add in tomatoes and salt. Saute until the tomatoes turn soft and mushy.▢ Stir in red chilli powder, turmeric and garam masala. Add rinsed dal and pour 3 cups water.▢ Press CANCEL button. Mix well and scrape the bottom with the spatula to release any bits of food stuck.▢ Optional – You can also place a long legged trivet and then place your rice bowl and cover.▢ Secure the Instant pot with the lid. Set the steam vent to sealing position.▢ Press the PRESSURE COOK button, high pressure and set the timer to 8 minutes.▢ When the IP beeps wait for the natural release for 10 mins.▢ Mash the dal to suit your liking. Then add kasuri methi and coriander leaves. Taste test and add more salt if needed.▢ If you like thinner consistency you can add little hot water and mix.▢ Sprinkle some lemon juice over the dal fry & serve with rice."
['Masoor Dal Recipe (Red Lentil Dal)'],"To Temper▢ 1 to 2 tablespoon ghee or (1 tbsp oil or 2 tbsps butter)▢ 1 dried red chili broken▢ 2 garlic cloves chopped▢ ¼ teaspoon mustard seeds (optional)▢ ½ teaspoon cumin seeds▢ 1 pinch asafoetida (hing)▢ ½ teaspoon salt  (adjust to taste)▢ ¼ to ½ teaspoon Kashmiri red chili powder (use up to ¾ for heat, adjust to taste)▢ ¼ teaspoon turmeric▢ ⅛ teaspoon garam masala (more if you want)▢ ½ teaspoon kasuri methi (dried fenugreek leaves)▢ 2 tablespoons coriander leaves fine chopped, to garnish▢ 1 to 2 tablespoons lemon juice to serve","▢ Press saute button on the Instant pot and pour oil to the inner pot.▢ Add mustard, cumin, broken red chilies and garlic.▢ When they splutter add tomatoes along with salt, chilli powder, hing, garam masala (optional) and turmeric.▢ Saute for 1 min. Next add dal, green chilli and pour water. ▢ Stir well and deglaze to release any bits of food stuck. Secure the Instant pot with lid. Set the steam release handle to sealing.▢ Optional :You can cook basmati rice together by placing the rice bowl on a long legged trivet.▢ Press pressure cook button and set the timer for 7 mins.▢ Wait for the pressure to release naturally. When the pin drops, open the IP.▢ Add kasuri methi and stir well. Taste test and add more salt or garam masala if required. If the dal is runny, cook on saute mode for a few minutes. If it is too thick pour little hot water and saute for a minute.▢ Squeeze lemon juice and garnish with chopped coriander leaves. Serve masoor dal with rice."
['Chana Dal Recipe (Bengal Gram Dal)'],To Garnish & Serve▢ 2 tablespoons coriander leaves (cilantro chopped finely)▢ 1 tablespoon lemon juice or ¼ to ½ tsp dried mango powder (amchur powder),"▢ Pour oil to the steel insert and press saute button. Once the oil is slightly hot, add cumin seeds. As soon as they splutter, add hing, green chilli and onions.▢ Stir fry until transparent for 2 mins. Add ginger garlic and saute for 30 seconds. Stir in the tomatoes, salt, turmeric, red chilli powder and garam masala. ▢ Saute for 2 to 3 mins and add the chana dal. Pour water and deglaze the pot by scrubbing the bottom of the steel pot with a spatula.▢ Secure the instant pot with the lid and position the steel release handle to sealing. Press pressure cook button and set the timer to 13 minutes.▢ When the pressure drops open the lid and check. Chana dal should be soft cooked yet holding its shape. If you want a slightly consistency, you may mash some of the lentils with the back of the spoon.▢ Stir in crushed kasuri methi. If you want you can also add half teaspoon amchur, more salt and garam masala at this stage. If the lentils are runny, simmer for a few more minutes. If you like it runny, add some boiling hot water and cook on a saute mode for 1 to 2 minutes.▢ Turn off when the chana dal is still runny as it thickens upon cooling. Squeeze some lemon juice and garnish with coriander leaves."
['Green Moong Dal (Green Gram Dal)'],"▢ ½ cup green gram (dried whole green moong, mung beans)▢ ½ cup onions fine chopped (1 medium)▢ ¾ cup tomatoes deseeded & chopped or pureed (1 large)▢ 1 green chili  chopped (optional)▢ ¾ teaspoon ginger minced or paste (¾ inch)▢ 2 to 3 garlic cloves minced (or ¾ teaspoon paste)▢ 1 sprig  curry leaves or bay leaf▢ 1½ to 2 tablespoons oil or ghee▢ ½ teaspoon cumin seeds (jeera)▢ ¼ teaspoon mustard seeds  (optional)▢ ½ to ¾ teaspoon Kashmiri red chili powder (adjust to taste)▢ ½ teaspoon garam masala▢ ¾ teaspoon coriander powder▢ ¼ teaspoon turmeric▢ ¾ teaspoon salt (adjust to taste)▢ 1½ cups water (3 cups for pot) (1½ cups for Instant pot)▢ 2 tablespoon coriander leaves to garnish","▢ Rinse the green moong dal well and keep immersed in fresh water until you prepare the ingredients. Press saute button on your Instant pot and wait for the display to show “HOT”.▢ Pour oil or ghee. Add cumin seeds, curry leaves, onions and green chili.▢ Saute until the onions turn light golden. Stir in the ginger garlic & saute for 30 to 60 seconds.▢ Add tomatoes and sprinkle salt. Saute until the tomatoes turn soft and mushy.▢ Add chilli powder, garam masala, coriander powder & turmeric.  Saute for 30 seconds & press cancel button.▢ Pour water and mix well at the bottom of the steel insert to deglaze any bits of food stuck. At this stage if you desire you can also blend the onion tomato masala using a hand blender.▢ Drain water from the green gram and add them. (Optional for cooking rice – Place a trivet and then the rice bowl. Cover the rice bowl.)▢ Secure the IP with the lid and position the steam release handle to sealing.▢ Press pressure cook button and set the timer to 12 mins. If using dried mung beans (unsoaked) then cook them for 15 mins.▢ Let the pressure release naturally for 10 mins, then release the rest manually.▢ Garnish green gram dal with coriander leaves. You can also stir in some coconut milk or lemon juice if you want."
